Outlet_Identifier,Item_Type,Outlet_Location_Type,Outlet_Type,Outlet_Size,Item_MRP,Item_Outlet_Sales,Longitude,Latitude,Item_Type_Count
OUT010,"Fruits and Vegetables, Dairy, Snack Foods, Canned, Frozen Foods, Others, Breads, Health and Hygiene, Baking Goods, Household, Meat, Breakfast, Hard Drinks, Starchy Foods, Soft Drinks, Seafood",Tier 3,Grocery Store,Unknown,78131.5646,188340.1724,105.94844548957326,20.983973143796565,16
OUT013,"Household, Snack Foods, Fruits and Vegetables, Hard Drinks, Meat, Canned, Frozen Foods, Baking Goods, Soft Drinks, Dairy, Starchy Foods, Health and Hygiene, Others, Breads, Breakfast, Seafood",Tier 3,Supermarket Type1,High,131809.0156,2142663.5782,108.27189254204856,15.977599387346796,16
OUT017,"Frozen Foods, Household, Fruits and Vegetables, Canned, Soft Drinks, Breads, Dairy, Breakfast, Snack Foods, Baking Goods, Starchy Foods, Meat, Hard Drinks, Health and Hygiene, Others, Seafood",Tier 2,Supermarket Type1,Unknown,129103.9564,2167465.2939999998,105.7202033143179,10.05807099850439,16
OUT018,"Soft Drinks, Baking Goods, Health and Hygiene, Snack Foods, Canned, Fruits and Vegetables, Frozen Foods, Household, Breads, Dairy, Hard Drinks, Meat, Seafood, Others, Starchy Foods, Breakfast",Tier 3,Supermarket Type2,Medium,131477.7724,1851822.83,108.11402768857354,16.02078319280231,16
OUT019,"Baking Goods, Canned, Dairy, Frozen Foods, Household, Soft Drinks, Meat, Health and Hygiene, Fruits and Vegetables, Snack Foods, Others, Breads, Hard Drinks, Breakfast, Seafood, Starchy Foods",Tier 1,Grocery Store,Small,73807.5824,179694.0936,107.61650315822334,16.237109675108368,16
OUT027,"Snack Foods, Hard Drinks, Baking Goods, Fruits and Vegetables, Breakfast, Household, Canned, Health and Hygiene, Starchy Foods, Soft Drinks, Frozen Foods, Dairy, Seafood, Meat, Others, Breads",Tier 3,Supermarket Type3,Medium,130714.6746,3453926.0513999998,107.62003710339386,16.224935009303877,16
OUT035,"Dairy, Household, Snack Foods, Meat, Fruits and Vegetables, Health and Hygiene, Canned, Frozen Foods, Starchy Foods, Others, Baking Goods, Soft Drinks, Breads, Hard Drinks, Breakfast, Seafood",Tier 2,Supermarket Type1,Small,133103.907,2268122.9354,107.52064915707793,16.35191026355153,16
OUT045,"Frozen Foods, Breads, Health and Hygiene, Canned, Household, Meat, Dairy, Soft Drinks, Starchy Foods, Baking Goods, Others, Fruits and Vegetables, Snack Foods, Breakfast, Hard Drinks, Seafood",Tier 2,Supermarket Type1,Unknown,130942.7782,2036725.477,107.52709547338515,16.359542913543837,16
OUT046,"Dairy, Snack Foods, Breakfast, Frozen Foods, Soft Drinks, Baking Goods, Health and Hygiene, Fruits and Vegetables, Household, Meat, Others, Canned, Starchy Foods, Breads, Hard Drinks, Seafood",Tier 1,Supermarket Type1,Small,132113.3698,2118395.1682,105.98344891796673,21.02401684946496,16
OUT049,"Dairy, Meat, Fruits and Vegetables, Breakfast, Health and Hygiene, Snack Foods, Hard Drinks, Household, Frozen Foods, Others, Baking Goods, Soft Drinks, Canned, Seafood, Breads, Starchy Foods",Tier 1,Supermarket Type1,Medium,130476.8598,2183969.8102,108.48648320898036,11.939729369843834,16
